,words
0,b''
1,b'0'
2,b'00'
3,b'000'
4,b'00000258'
5,b'0000157'
6,b'005484'
7,b'00ws110atxt'
8,b'00ws110txt'
9,b'00ws110zip'
10,b'00ws111txt'
11,b'01'
12,b'02'
13,b'0217'
14,b'03'
15,b'04'
16,b'06'
17,b'07'
18,b'08'
19,b'081'
20,b'0F'
21,b'0d'
22,b'0ge'
23,b'0h'
24,b'0oh'
25,b'0rganum'
26,b'0veralls'
27,b'1'
28,b'10'
29,b'100'
30,b'1000'
31,b'10000'
32,b'100000'
33,b'1000000'
34,b'100000000'
35,b'100000000Trillion'
36,b'1001'
37,b'100106'
38,b'10011080'
39,b'1004'
40,b'1008'
41,b'100horsepower'
42,b'101'
43,b'10111077'
44,b'10119'
45,b'1012'
46,b'1013'
47,b'102'
48,b'10200'
49,b'102106'
50,b'1028'
51,b'103'
52,b'1030'
53,b'103000'
54,b'103110'
55,b'104'
56,b'1040'
57,b'104110'
58,b'1045'
59,b'105'
60,b'1050'
61,b'1052'
62,b'1058'
63,b'105to'
64,b'106'
65,b'1060'
66,b'10600'
67,b'1062'
68,b'1068'
69,b'107'
70,b'1071'
71,b'107109'
72,b'1074'
73,b'10773'
74,b'10785'
75,b'108'
76,b'1080'
77,b'10800'
78,b'108114'
79,b'108579'
80,b'1087'
81,b'1089'
82,b'108nearly'
83,b'109'
84,b'109118'
85,b'109149'
86,b'1092'
87,b'10949'
88,b'1099'
89,b'10d'
90,b'10s'
91,b'10th'
92,b'11'
93,b'110'
94,b'1100'
95,b'11000'
96,b'1101'
97,b'110112'
98,b'110114'
99,b'1104'
100,b'1105'
101,b'1106'
102,b'111'
103,b'111113'
104,b'111114'
105,b'1116'
106,b'1117'
107,b'1119'
108,b'112'
109,b'1120'
110,b'112114'
111,b'1122'
112,b'1123'
113,b'1129'
114,b'113'
115,b'1130'
116,b'11301200'
117,b'1130Other'
118,b'113115'
119,b'1134'
120,b'114'
121,b'1145'
122,b'1146'
123,b'115'
124,b'1150'
125,b'11501250'
126,b'115118'
127,b'116'
128,b'116124'
129,b'1163'
130,b'1164'
131,b'117'
132,b'117000000'
133,b'117120'
134,b'1176'
135,b'11760'
136,b'1178'
137,b'118'
138,b'118121'
139,b'119'
140,b'119000'
141,b'1191'
142,b'1192'
143,b'1198'
144,b'11981194'
145,b'11a'
146,b'11all'
147,b'11it'
148,b'11s'
149,b'11th'
150,b'11thand'
151,b'12'
152,b'120'
153,b'1200'
154,b'12000'
155,b'120000'
156,b'12063'
157,b'1207'
158,b'12075'
159,b'120x120x120'
160,b'121'
161,b'1219'
162,b'122'
163,b'1220'
164,b'12200'
165,b'122188'
166,b'1222'
167,b'1227'
168,b'122Once'
169,b'123'
170,b'1233'
171,b'1235'
172,b'124'
173,b'1240'
174,b'124129'
175,b'124131'
176,b'1249'
177,b'125'
178,b'1250'
179,b'12508'
180,b'125239'
181,b'1252877'
182,b'1252First'
183,b'1253'
184,b'12536'
185,b'1255'
186,b'12575'
187,b'125th'
188,b'126'
189,b'1260'
190,b'1265'
191,b'12651321'
192,b'1266'
193,b'127'
194,b'1270'
195,b'127131'
196,b'1274'
197,b'12763'
198,b'12797'
199,b'128'
200,b'1280'
201,b'128130'
202,b'12832'
203,b'1284'
204,b'1287'
205,b'12873'
206,b'129'
207,b'1291'
208,b'129134'
209,b'129157'
210,b'12Our'
211,b'12s'
212,b'12th'
213,b'13'
214,b'130'
215,b'1300'
216,b'13000'
217,b'1303'
218,b'130313'
219,b'1304'
220,b'130474'
221,b'13080'
222,b'130a'
223,b'131'
224,b'1311'
225,b'1312'
226,b'131375'
227,b'1315'
228,b'13151'
229,b'1316'
230,b'132'
231,b'1320'
232,b'132000'
233,b'132140'
234,b'1323'
235,b'13241264'
236,b'1325'
237,b'132749'
238,b'1328'
239,b'1329'
240,b'133'
241,b'1330'
242,b'133136'
243,b'1333'
244,b'133442'
245,b'1335'
246,b'13361405'
247,b'1339'
248,b'134'
249,b'1341'
250,b'134142'
251,b'134252'
252,b'1343'
253,b'1344'
254,b'1345'
255,b'1346'
256,b'1347'
257,b'1348'
258,b'135'
259,b'1350'
260,b'1350A'
261,b'1351'
262,b'13511451'
263,b'135138'
264,b'1354'
265,b'1355'
266,b'13551450'
267,b'1356'
268,b'1358'
269,b'1359'
270,b'136'
271,b'1360'
272,b'1362'
273,b'136270'
274,b'1363'
275,b'1365'
276,b'1366'
277,b'1367'
278,b'1369'
279,b'137'
280,b'1370'
281,b'1371'
282,b'1372'
283,b'13721373'
284,b'137273'
285,b'1373'
286,b'13738'
287,b'1374'
288,b'13741386'
289,b'1375'
290,b'1376'
291,b'1377'
292,b'1378'
293,b'1379'
294,b'138'
295,b'1381'
296,b'1382'
297,b'1384'
298,b'1385'
299,b'1386'
300,b'1387'
301,b'1388'
302,b'1389'
303,b'13891459'
304,b'139'
305,b'1390'
306,b'1391'
307,b'139148'
308,b'13921393'
309,b'1394'
310,b'1396'
311,b'13961486'
312,b'1397'
313,b'1398'
314,b'1399'
315,b'139with'
316,b'13This'
317,b'13s'
318,b'13th'
319,b'14'
320,b'140'
321,b'1400'
322,b'14001800'
323,b'140064'
324,b'140143'
325,b'14031424'
326,b'14031425'
327,b'140372'
328,b'140557'
329,b'1407'
330,b'140758'
331,b'1408'
332,b'14087'
333,b'141'
334,b'14102'
335,b'1414'
336,b'141417'
337,b'1415'
338,b'1416'
339,b'1417'
340,b'141731'
341,b'1419'
342,b'14191514'
343,b'142'
344,b'142050'
345,b'1425'
346,b'1426'
347,b'1428'
348,b'1429'
349,b'142964'
350,b'143'
351,b'1430'
352,b'143094'
353,b'1431'
354,b'143147'
355,b'143159'
356,b'14316'
