wordId,docId_list
0,"28,43,16,31,37,1,32,19,5,40,4,30,38,41,26,11,23,6,17,14,18,8,22,27,10,24,35,42,20,15,0,44,36,33,29,25,7,34,39,21,12,13,3,2,9"
1,"43,1,4,30,41,6,14,44,34,3,2"
10,0
100,18
1000,21
10000,12
100000,42
100001,1
100002,"31,1,22,35,44,21,12,3"
100003,"19,38,22,3,2"
100004,2
100005,"19,4,22"
100006,"1,19,38,23,17,22,15,44,33,7,21,12,3"
100007,3
100008,"1,19,4,11,15,44,7,3,2"
100009,"32,23,17,44,36,33,12"
10001,12
100010,23
100011,1
100012,14
100013,2
100014,2
100015,1
100016,"28,26,17,7,12,3"
100017,"43,12,3,2"
100018,"12,9"
100019,"26,22,2"
10002,40
100020,36
100021,"32,11,23,14,18,36"
100022,28
100023,18
100024,"1,4,41,26,11,6,17,18,27,20,9"
100025,"26,6"
100026,2
100027,41
100028,"32,41,6,14,15,2"
100029,15
10003,22
100030,17
100031,26
100032,26
100033,36
100034,2
100035,14
100036,"28,19,30,35,12,2"
100037,"43,19,41,13,2"
100038,14
100039,18
10004,18
100040,"28,43,16,1,19,4,30,26,11,17,14,27,15,44,36,33,34,21,13,2"
100041,"43,1,32,19,4,26,11,23,6,17,14,18,24,15,44,33,7,34,13,3,2,9"
100042,"28,16,41"
100043,14
100044,"28,43,32,40,4,30,26,11,17,14,18,15,44,13,2"
100045,2
100046,"28,43,18,36,33,2"
100047,2
100048,"5,18"
100049,"43,31,1,4,23,6,18,15,34,21,12,3,9"
10005,2
100050,3
100051,"31,1,30,41,17,15,44,34,21,13,3"
100052,"13,2"
100053,3
100054,"28,43,1,6,17,3,2"
100055,6
100056,6
100057,6
100058,2
100059,2
10006,2
100060,6
100061,6
100062,"1,23,6,15,2"
100063,6
100064,"43,16,1,4,26,11,17,22,35,44,34,2"
100065,18
100066,2
100067,18
100068,2
100069,"31,44,3,2"
10007,2
100070,44
100071,"26,23"
100072,18
100073,"43,32,4,2"
100074,24
100075,"43,14,2"
100076,14
100077,1
100078,1
100079,"31,1"
10008,2
100080,12
100081,12
100082,35
100083,"1,21"
100084,"1,4"
100085,12
100086,12
100087,26
100088,"43,1,4,11,23,22,42,21,12,3"
100089,"42,21"
10009,2
100090,"1,4,30,23,39,3"
100091,"1,19,22,21,12"
100092,"19,22,21,3"
100093,"1,22"
100094,"1,19,4,26,11,22,15,44,34,39,3,2"
100095,"1,40"
100096,2
100097,3
100098,22
100099,21
1001,3
10010,2
100100,19
100101,3
100102,3
100103,"28,43,16,31,37,1,32,19,5,40,4,30,38,41,26,11,23,6,17,14,18,8,22,27,10,24,35,42,20,15,0,44,36,33,29,25,7,34,39,21,12,13,3,2,9"
100104,18
100105,12
100106,"30,42,20,44"
100107,23
100108,16
100109,"28,43,16,31,1,32,19,5,40,4,30,38,41,26,11,23,6,17,14,18,22,42,20,15,44,36,33,7,34,39,21,12,3,2,9"
10011,"18,29"
100110,5
100111,"1,3"
100112,1
100113,"1,4,30,18,29,34,21,3,2"
100114,"1,17,3"
100115,"43,16,31,1,19,18,8,22,35,15,33,21,12,3,2,9"
100116,29
100117,"16,1,19,4,11,23,18,8,22,10,20,15,44,34,39,21,12,3,2,9"
100118,39
100119,"16,1,18,8,12,3,2"
10012,1
100120,"1,19,4,30,41,11,23,18,8,22,42,20,15,44,36,29,21,3,2,9"
100121,"11,7,21,9"
100122,"16,31,37,1,32,19,4,30,38,11,23,17,18,24,42,20,15,0,44,33,29,7,34,21,12,3,2,9"
100123,18
100124,44
100125,2
100126,"15,34"
100127,27
100128,18
100129,23
10013,39
100130,7
100131,"30,11,17,36,3,2"
100132,"11,17"
100133,16
100134,"31,30,23,33,12"
100135,"30,23,14,44"
100136,"16,5,4,23,8"
100137,2
100138,2
100139,2
10014,39
100140,"41,13"
100141,13
100142,16
100143,43
100144,15
100145,"1,23,8,33,3"
100146,15
100147,43
100148,19
100149,43
10015,"5,23,18,35"
100150,43
100151,5
100152,8
100153,43
100154,2
100155,8
100156,6
100157,26
100158,41
100159,12
10016,2
100160,12
100161,16
100162,16
100163,23
100164,35
100165,8
100166,30
100167,43
100168,9
100169,0
10017,0
100170,43
100171,2
100172,"18,15,2"
100173,15
100174,15
100175,12
100176,14
100177,23
100178,12
100179,36
10018,"23,0,12"
100180,2
100181,35
100182,2
100183,23
100184,36
100185,43
100186,35
100187,26
100188,23
100189,36
10019,0
100190,12
100191,16
100192,27
100193,6
100194,15
100195,15
100196,15
100197,8
100198,19
100199,12
1002,21
10020,"19,9"
100200,27
100201,36
100202,3
100203,43
100204,17
100205,17
100206,34
100207,8
100208,4
100209,"4,24"
10021,"1,19,22,0,7,2"
100210,4
100211,12
100212,2
100213,"31,32,4,23,14,24,15,36,2,9"
100214,0
100215,4
100216,4
100217,0
100218,"4,14"
100219,42
10022,"0,44"
100220,4
100221,"28,16,31,1,19,40,30,41,26,11,23,6,17,14,18,22,24,42,15,0,44,33,25,7,34,21,12,3,2,9"
100222,6
100223,0
100224,0
100225,"31,1,19,11,15,34,3,2,9"
100226,14
100227,"31,1,19,40,15,33,34,3,2,9"
100228,14
100229,"16,31,1,19,40,4,11,17,14,22,42,15,44,33,34,21,3,2,9"
10023,44
100230,2
100231,"26,42,20,33,3"
100232,0
100233,41
100234,6
100235,19
100236,"28,43,16,31,37,1,32,19,5,40,4,30,38,41,26,11,23,6,17,14,18,8,22,27,10,24,35,42,20,15,0,44,36,33,29,25,7,34,39,21,12,13,3,2,9"
100237,9
100238,"0,12"
100239,12
10024,"1,3"
100240,"28,43,1,19,4,26,17,14,18,0,12,3,2,9"
100241,"16,30,18,22,35,15,0,33,34,13,3,2,9"
100242,0
100243,0
100244,"12,3,9"
100245,"14,36"
100246,"28,43,16,31,37,1,32,19,5,40,4,30,38,41,26,11,23,6,17,14,18,8,22,27,10,24,35,42,20,15,0,44,36,33,29,25,7,34,39,21,12,13,3,2,9"
100247,2
100248,"43,16,37,1,40,4,30,41,26,11,23,6,17,14,18,10,24,35,42,20,15,0,44,36,33,7,34,39,12,3,2,9"
100249,15
10025,"28,17"
100250,26
100251,0
100252,0
100253,"30,14,36"
100254,14
100255,"14,36"
100256,36
100257,"14,36"
100258,6
100259,"32,30,17,14"
10026,"19,22"
100260,14
100261,"30,33"
100262,0
100263,12
100264,43
100265,8
100266,14
100267,"4,14"
100268,12
100269,17
10027,19
100270,12
100271,"44,12"
100272,5
100273,"28,43,16,31,37,4,20,0,2"
100274,6
100275,14
100276,43
100277,0
100278,"4,30,6,18,34,2"
100279,0
10028,"1,19"
100280,6
100281,"40,26,6"
100282,6
100283,12
100284,27
100285,27
100286,"14,36"
100287,8
100288,"28,43,16,31,37,1,32,19,5,40,4,30,41,26,11,23,6,17,14,18,8,22,27,10,24,35,42,20,15,0,44,36,33,29,7,34,39,21,12,13,3,2,9"
100289,9
10029,22
100290,40
100291,12
100292,0
100293,27
100294,23
100295,36
100296,17
100297,36
100298,36
100299,26
1003,35
10030,"0,7"
100300,43
100301,"4,24,12,9"
100302,0
100303,"4,9"
100304,14
100305,"30,6,8,7,21,3"
100306,0
100307,0
100308,36
100309,"43,14,36,2"
10031,0
100310,14
100311,27
100312,12
100313,0
100314,"31,33"
100315,0
100316,12
100317,12
100318,18
100319,36
10032,0
100320,"14,36"
100321,36
100322,"6,7"
100323,"28,43,41,26,17,15,0,34,3,2"
100324,4
100325,"1,23,2"
100326,44
100327,"43,41,23,27,44"
100328,2
100329,"43,16,31,37,1,19,40,30,41,26,11,23,6,17,14,18,22,15,0,44,36,33,25,7,12,3,2,9"
10033,0
100330,18
100331,"26,22,44"
100332,0
100333,"23,17,2"
100334,"0,12"
100335,"40,30,26,11,17,0,33,25,2"
100336,"1,8,12"
100337,17
100338,"16,31,1,32,40,4,30,41,26,23,6,14,18,44,33,34,21,13,3,2,9"
100339,"37,35"
10034,0
100340,23
100341,35
100342,16
100343,2
100344,23
100345,"28,9"
100346,9
100347,2
100348,2
100349,"28,9"
10035,0
100350,2
100351,3
100352,2
100353,2
100354,2
100355,2
100356,40
100357,23
100358,2
100359,2
10036,"40,30,0,36,12,3,2"
100360,2
100361,"5,23,2"
100362,1
100363,12
100364,12
100365,"43,31,1,19,40,30,41,26,6,17,14,27,20,44,36,33,7,34,12,13,3,2"
100366,0
100367,0
100368,"43,40,4,30,41,26,11,17,14,20,15,44,33,34,13,3,2"
100369,"19,2"
10037,0
100370,0
100371,"14,36,2"
100372,"43,1,41,26,17,18,44,33,7,34,3,2"
100373,2
100374,3
100375,"41,36,33,2"
100376,16
100377,0
100378,"19,5,4,30,23,6,17,14,15,34,12,2,9"
100379,12
10038,"14,0"
100380,12
100381,2
100382,17
100383,0
100384,"28,16"
100385,"23,3,2"
100386,3
100387,"23,22,2"
100388,23
100389,"37,6,18"
10039,2
100390,18
100391,6
100392,"4,17,14,18,15,36,2,9"
100393,5
100394,17
100395,3
100396,0
100397,0
100398,"43,16,31,1,32,19,5,40,4,41,26,11,6,17,14,18,27,10,35,42,20,15,0,44,36,21,12,13,3,2,9"
100399,0
1004,35
10040,0
100400,0
100401,0
100402,"28,43,16,31,37,1,32,19,5,40,4,41,26,11,23,6,17,18,8,27,10,24,35,42,20,15,0,44,36,33,7,39,21,12,13,3,2,9"
100403,0
100404,"1,0"
100405,0
100406,"28,43,16,1,32,19,5,40,4,41,26,11,23,6,18,27,35,42,0,44,34,39,21,13,3,2,9"
100407,"43,16,41,18,10,20,15,0,36,12,13,2"
100408,0
100409,41
10041,0
100410,23
100411,"19,15"
100412,0
100413,0
100414,28
100415,5
100416,43
100417,43
100418,43
100419,"28,43,16,40,14,27,10,0,44,36,12,2,9"
10042,0
100420,"28,43,16,31,37,1,32,19,5,40,4,30,38,41,26,11,23,6,17,14,18,8,22,27,10,24,35,42,20,15,0,44,36,33,25,7,34,39,21,12,13,3,2,9"
100421,21
100422,4
100423,2
100424,12
100425,36
100426,"0,12"
100427,"0,12"
100428,12
100429,"31,1,19,4,11,17,14,20,0,44,36,2,9"
10043,"1,10,15,0,39,21,3"
100430,14
100431,0
100432,"4,17,22,0,44,29,34,13,2"
100433,11
100434,22
100435,"4,41,11,17,24,33,13"
100436,15
100437,13
100438,"16,30,41,26,23,27,15,0,36,12,3"
100439,"16,1,32,30,41,11,23,10,20,15,0,44,34,12,9"
10044,0
100440,"42,20,0,2"
100441,12
100442,"1,0"
100443,"43,16,19,41,29"
100444,"16,8,10,42,15,0,34,9"
100445,"28,43,16,1,19,40,4,38,41,26,11,23,6,17,14,18,22,27,10,24,35,20,15,0,44,36,33,7,34,39,21,12,13,3,2,9"
100446,"43,41"
100447,44
100448,15
100449,0
10045,"1,19,33,29"
100450,"28,43,16,31,1,32,19,5,40,4,38,41,26,11,17,18,22,35,42,20,15,44,33,7,39,21,12,13,3,2,9"
100451,0
100452,"16,26,18,0,7,2"
100453,9
100454,41
100455,9
